"year","commodity","hectares_planted","hectares_harvested","production","yield","price_per_bushel"
1866,"Barley",NA,0.3035145,18.1,59.6347126743533,NA
1866,"Corn",NA,12.14867372,730.81,60.1555377025962,NA
1866,"Oats",NA,3.21320684,232.36,72.3140499725813,NA
1867,"Barley",NA,0.42896716,23.85,55.5986616784371,NA
1867,"Corn",NA,12.99851432,793.91,61.076980065211,NA
1867,"Oats",NA,3.31033148,222.61,67.2470419790105,NA
1868,"Barley",NA,0.42896716,23.2,54.0833941693812,NA
1868,"Corn",NA,14.21257232,919.59,64.702573137021,NA
1868,"Oats",NA,3.6017054,229.68,63.769790832976,NA
1869,"Barley",NA,0.50181064,29.1,57.9900019656817,NA
1869,"Corn",NA,14.49989938,782.08,53.9369260092066,NA
1869,"Oats",NA,3.86879816,284,73.4078099334084,NA
1870,"Barley",NA,0.53823238,29.05,53.9729698164945,NA
1870,"Corn",NA,15.53589554,1124.78,72.398787511415,NA
1870,"Oats",NA,4.1885001,267.95,63.9727810917326,NA
1871,"Barley",NA,0.5463261,27.69,50.6840145473555,NA
1871,"Corn",NA,16.996812,1141.72,67.1725968375717,NA
1871,"Oats",NA,4.47582716,306.22,68.4164041758932,NA
1872,"Barley",NA,0.57465412,32.01,55.7030723106971,NA
1872,"Corn",NA,17.63621588,1279.37,72.5422056922565,NA
1872,"Oats",NA,4.77124794,326.76,68.4852273679997,NA
1873,"Barley",NA,0.59488842,30.54,51.3373583570512,NA
1873,"Corn",NA,17.83855888,1008.33,56.5253060397444,NA
1873,"Oats",NA,4.86027886,306.91,63.1465824987663,NA
1874,"Barley",NA,0.65963818,36.13,54.7724511640609,NA
1874,"Corn",NA,19.27924104,1058.78,54.9181369641717,NA
1874,"Oats",NA,5.17188708,272.5,52.6886986867471,NA
1875,"Barley",NA,0.6879662,32.81,47.6912964619483,NA
1875,"Corn",NA,21.2257807,1450.28,68.3263442931925,NA
1875,"Oats",NA,5.51182332,364.97,66.2158379924268,NA
1876,"Barley",NA,0.79723142,40.71,51.0642192200603,NA
1876,"Corn",NA,22.37104208,1478.17,66.0751517391987,NA
1876,"Oats",NA,5.90436874,327.21,55.4182867650641,NA
1877,"Barley",NA,0.79318456,39.17,49.3832103842263,NA
1877,"Corn",NA,23.7955368,1515.86,63.7035429265878,NA
1877,"Oats",NA,5.99744652,435.33,72.5858911035358,NA
1878,"Barley",NA,0.7486691,37.45,50.0220992157951,NA
1878,"Corn",NA,24.14356676,1564.54,64.8015272785652,NA
1878,"Oats",NA,6.40617938,443.37,69.2097385509052,NA
1879,"Barley",NA,0.78104398,42.37,54.2479054764624,NA
1879,"Corn",NA,25.18360978,1751.98,69.5682634580593,NA
1879,"Oats",NA,6.45878856,415.44,64.321659726232,NA
1880,"Barley",NA,0.80532514,45.26,56.2009029048814,NA
1880,"Corn",NA,25.3131093,1706.67,67.4223770684702,NA
1880,"Oats",NA,6.64089726,417.94,62.9342668071935,NA
1881,"Barley",NA,0.8903092,48.98,55.0145949294919,NA
1881,"Corn",NA,25.50735858,1244.8,48.8016035096645,NA
1881,"Oats",NA,6.84728712,446.13,65.1542709078044,NA
1882,"Barley",NA,0.98338698,60.07,61.0848030548462,NA
1882,"Corn",NA,26.77402576,1755.27,65.5586879513035,NA
1882,"Oats",NA,7.72140888,540.46,69.9949981149036,NA
1883,"Barley",NA,0.99957442,57.13,57.154323737096,NA
1883,"Corn",NA,27.58744462,1652.15,59.8877504878522,NA
1883,"Oats",NA,8.34462532,605.58,72.5712631516929,NA
1884,"Barley",NA,1.08860534,67.92,62.3917571449723,NA
1884,"Corn",NA,27.85453738,1947.84,69.929001994432,NA
1884,"Oats",NA,8.89095142,640.52,72.0417838027058,NA
1885,"Barley",NA,1.15740196,63.96,55.2617000925072,NA
1885,"Corn",NA,29.0766891,2057.81,70.7718128746646,NA
1885,"Oats",NA,9.4494181,674.15,71.343017407601,NA
1886,"Barley",NA,1.22619858,73.5,59.9413514244977,NA
1886,"Corn",NA,29.91034226,1782.77,59.6037980609855,NA
1886,"Oats",NA,9.88647898,682.31,69.0144591800872,NA
1887,"Barley",NA,1.31927636,72.4,54.8785699457239,NA
1887,"Corn",NA,29.6634838,1604.55,54.0917584333098,NA
1887,"Oats",NA,10.63110122,696.18,65.4852197898648,NA
1888,"Barley",NA,1.32737008,75.98,57.2410069692094,NA
1888,"Corn",NA,31.35102442,2250.63,71.7880848118073,NA
1888,"Oats",NA,11.25431766,773.14,68.6971901235637,NA
1889,"Barley",NA,1.3556981,80.79,59.5929137910572,NA
1889,"Corn",NA,31.42791476,2294.29,73.0016616603551,NA
1889,"Oats",NA,11.6144882,831.05,71.5528730745105,NA
1890,"Barley",NA,1.3152295,69.88,53.1314116661769,NA
1890,"Corn",NA,30.26646594,1650.45,54.5306479875067,NA
1890,"Oats",NA,11.44452008,609.12,53.2237259179155,NA
1891,"Barley",NA,1.45282274,94.16,64.8117608621682,NA
1891,"Corn",NA,31.91353796,2335.8,73.1915089742686,NA
1891,"Oats",NA,11.23408336,836.79,74.4867180690032,NA
1892,"Barley",NA,1.56208796,95.17,60.9248662284037,NA
1892,"Corn",NA,31.12440026,1897.41,60.9621385199343,NA
1892,"Oats",NA,11.40000462,721.82,63.3175181993917,NA
1893,"Barley",NA,1.49329134,87.11,58.3342296755032,NA
1893,"Corn",NA,32.30608338,1900.4,58.8248342470538,NA
1893,"Oats",NA,11.84515922,707.13,59.6978045517568,NA
1894,"Barley",NA,1.47305704,74.21,50.3782256795704,NA
